vertices,penalization,stddev,avg
5,FALSE,1.15426406112,2.96825396825
5,TRUE,1.13635241296,3.0404040404
6,FALSE,2.53919278512,6.95
6,TRUE,2.70528197567,7.53488372093
7,FALSE,3.7523109442,16.2771084337
7,TRUE,3.7533001119,15.7375415282
8,FALSE,12.0495284445,37.4210526316
8,TRUE,7.8398629825,30.4943820225
9,FALSE,6.99184637407,42.0126582278
9,TRUE,7.76513660627,44.5322580645
10,FALSE,18.281033751,88.8965517241
10,TRUE,14.938916896,74.1380597015
11,FALSE,18.0985603202,115.13559322
11,TRUE,24.2258533673,119.297029703
